,administrative,administrative_duration,informational,informational_duration,productrelated,productrelated_duration,bouncerates,exitrates,pagevalues,specialday,month,operatingsystems,browser,region,traffictype,visitortype,weekend,revenue
735,0,0.0,1,81.0,82,3214.020563,0.0,0.007723577,4.667079268,0.0,Mar,Linux,Samsung,Northern,Paid media,Returning_Visitor,False,True
750,0,0.0,0,0.0,50,1803.768849,0.001360544,0.017428305,3.609398514,0.0,Mar,Windows,Mozilla,Southern,Referral,Returning_Visitor,True,True
752,6,171.0833333,0,0.0,28,952.2857143,0.0,0.013333333,52.10818182,0.0,Mar,Windows,Chrome,Central,Organic,Returning_Visitor,False,True
758,0,0.0,0,0.0,14,510.5,0.0,0.015384615,31.3094364,0.0,Mar,Windows,Chrome,Central,Organic,New_Visitor,False,True
760,6,262.25,3,298.0,49,2302.021242,0.000308642,0.026591844,43.3616369,0.0,Mar,Mac OS,Safari,Central,Organic,Returning_Visitor,False,True
772,6,437.3913043,2,235.55,83,2503.881781,0.002197802,0.004916136,2.086218493,0.0,Mar,Windows,Chrome,Eastern,Organic,Returning_Visitor,False,True
779,3,16.33333333,0,0.0,23,505.5833333,0.008,0.03,9.15008,0.0,Mar,Ubuntu,Safari,Central,Organic,Returning_Visitor,False,True
783,4,15.0,1,17.0,17,490.0,0.0,0.027272727,15.66445171,0.0,Mar,Windows,Chrome,Western,Paid media,Returning_Visitor,False,True
802,3,74.0,2,26.0,53,893.5111111,0.003571429,0.005357143,44.61199852,0.0,Mar,Mac OS,Safari,Western,Others,Returning_Visitor,True,True
810,7,301.7,6,336.5,42,1981.016667,0.005660377,0.021383648,13.00183962,0.0,Mar,Mac OS,Safari,Northern,Organic,Returning_Visitor,True,True
813,0,0.0,0,0.0,22,1310.5,0.00952381,0.028571429,23.86359286,0.0,Mar,Windows,Chrome,Central,Direct,Returning_Visitor,False,True
837,5,117.8333333,0,0.0,35,502.547619,0.01025641,0.036923077,3.148615385,0.0,Mar,Windows,Chrome,Northern,Organic,Returning_Visitor,False,True
845,4,64.33333333,1,13.0,27,1433.916667,0.0,0.018226601,3.691344828,0.0,Mar,Mac OS,Mozilla,Central,Offline channels,New_Visitor,False,True
853,8,492.4166667,4,384.0,52,4699.277778,0.007258065,0.018233487,11.1076505,0.0,Mar,Windows,Chrome,Central,Organic,Returning_Visitor,False,True
858,0,0.0,0,0.0,8,349.5,0.0,0.028571429,25.188,0.0,Mar,Mac OS,Chrome,Central,Offline channels,New_Visitor,False,True
863,6,352.5,0,0.0,21,696.6666667,0.0,0.0125,75.06781572,0.0,Mar,Windows,Chrome,North-West,Paid media,New_Visitor,True,True
878,0,0.0,0,0.0,10,316.5,0.0,0.025,17.538,0.0,Mar,Windows,Mozilla,Central,Offline channels,New_Visitor,True,True
896,1,47.0,0,0.0,5,388.0,0.0,0.04,31.188,0.0,Mar,Mac OS,Safari,Southern,Referral,Returning_Visitor,True,True
903,0,0.0,0,0.0,10,253.5,0.0,0.022222222,63.588,0.0,Mar,Mac OS,Safari,Central,Organic,New_Visitor,True,True
905,3,152.5,5,243.5,43,3065.945238,0.0,0.011666667,3.31108,0.0,Mar,Mac OS,Chrome,Central,Direct,Returning_Visitor,True,True
939,4,167.5,0,0.0,22,869.9,0.0,0.026388889,33.53327578,0.0,Mar,Windows,Edge,Western,Paid media,Returning_Visitor,False,True
954,0,0.0,0,0.0,13,323.9166667,0.0,0.008333333,35.8370931,0.0,Mar,Mac OS,Safari,Western,Paid media,Returning_Visitor,False,True
979,11,247.3333333,2,369.0,90,7221.0,0.001030928,0.003917526,13.46406308,0.0,Mar,Windows,Chrome,Eastern,Offline channels,Returning_Visitor,False,True
983,1,16.0,0,0.0,27,1240.916667,0.0,0.009259259,28.39335492,0.0,Mar,Windows,Chrome,Eastern,Direct,Returning_Visitor,False,True
1029,1,37.0,0,0.0,12,663.5,0.0,0.016666667,10.83431037,0.0,Mar,Linux,Chrome,North-West,Offline channels,New_Visitor,False,True
1032,3,26.0,0,0.0,19,576.0833333,0.009090909,0.018181818,30.65045455,0.0,Mar,Windows,Chrome,Northern,Direct,Returning_Visitor,True,True
1042,1,123.0,0,0.0,7,181.5,0.0,0.025,64.7325,0.0,Mar,Windows,Chrome,Central,Organic,New_Visitor,True,True
1049,5,72.5,0,0.0,31,649.3071429,0.0,0.001041667,35.10378279,0.0,Mar,Windows,Others,Northern,Organic,Returning_Visitor,True,True
1050,1,21.0,1,61.0,49,1647.152381,0.0,0.0008,144.3934888,0.0,Mar,Windows,Chrome,Southern,Organic,Returning_Visitor,True,True
1067,2,35.0,0,0.0,20,979.0833333,0.0,0.00952381,60.04549665,0.0,Mar,Windows,Chrome,Eastern,Organic,Returning_Visitor,False,True
1069,6,160.0952381,3,94.5,47,1682.870247,0.001333333,0.007891429,5.698642857,0.0,Mar,Linux,Chrome,North-West,Paid media,Returning_Visitor,False,True
1106,6,60.0,2,61.0,23,1031.704762,0.0,0.007111111,33.14784917,0.0,Mar,Ubuntu,Chrome,North-East,Paid media,Returning_Visitor,True,True
1115,0,0.0,3,300.0,13,509.1214286,0.006666667,0.002222222,40.7932,0.0,Mar,Linux,Chrome,Southern,Organic,Returning_Visitor,True,True
1144,1,112.0,0,0.0,37,2043.5,0.005555556,0.016666667,12.3578472,0.0,Mar,Windows,Opera,Eastern,Paid Search,Returning_Visitor,False,True
1157,10,117.3333333,0,0.0,28,631.9896825,0.017647059,0.022794118,10.16517157,0.0,Mar,Linux,Others,Central,Organic,Returning_Visitor,False,True
1161,1,0.0,0,0.0,16,1296.6,0.022222222,0.033333333,13.28355556,0.0,Mar,Linux,Chrome,Western,Organic,Returning_Visitor,False,True
1171,0,0.0,1,42.0,20,408.3333333,0.0,0.003174603,33.47777322,0.0,Mar,Windows,Mozilla,Southern,Organic,Returning_Visitor,False,True
1175,0,0.0,0,0.0,30,1224.75,0.0,0.007142857,21.04864167,0.0,Mar,Windows,Mozilla,Northern,Organic,New_Visitor,False,True
1182,9,204.0833333,0,0.0,63,3552.702381,0.0,0.007,19.95572297,0.0,Mar,Mac OS,Chrome,South-West,Offline channels,New_Visitor,False,True
1183,2,151.0,0,0.0,19,716.3571429,0.004761905,0.015873016,10.8692605,0.0,Mar,Mac OS,Safari,Southern,Direct,Returning_Visitor,True,True
1185,6,52.0,1,24.0,56,3763.166667,0.003389831,0.01480226,10.37042373,0.0,Mar,Windows,Chrome,Central,Direct,Returning_Visitor,False,True
1188,4,600.4230769,0,0.0,17,1883.827222,0.00075188,0.013061325,0.120699914,0.0,Mar,Windows,Chrome,Central,Offline channels,Returning_Visitor,False,True
1195,2,152.8333333,0,0.0,20,791.6666667,0.011111111,0.016666667,41.35007203,0.0,Mar,Mac OS,Safari,Central,Organic,New_Visitor,False,True
1219,0,0.0,0,0.0,6,495.0,0.0,0.02,77.96,0.0,Mar,Mac OS,Chrome,North-East,Organic,Returning_Visitor,True,True
1233,9,160.0,0,0.0,48,3946.008333,0.007272727,0.011515152,20.32388105,0.0,Mar,Windows,Edge,Central,Offline channels,Returning_Visitor,True,True
1251,3,91.0,2,338.0,11,451.0,0.0,0.006666667,45.7504,0.0,Mar,Windows,Chrome,Central,Paid media,New_Visitor,False,True
1259,0,0.0,0,0.0,6,546.0,0.0,0.04,35.49,0.0,Mar,Windows,Chrome,Eastern,Direct,Returning_Visitor,False,True
1283,6,136.5555556,0,0.0,59,3224.819084,0.002985075,0.011923715,8.567426866,0.0,Mar,Windows,Mozilla,Northern,Organic,Returning_Visitor,True,True
1298,0,0.0,1,55.0,9,936.8333333,0.0,0.022222222,53.25533333,0.0,Mar,Mac OS,Safari,Central,Organic,Returning_Visitor,True,True
1304,2,18.0,0,0.0,15,756.3333333,0.0125,0.0625,29.24325,0.0,Mar,Windows,Yandex,Eastern,Direct,Returning_Visitor,False,True
1315,0,0.0,1,28.0,13,474.6666667,0.0,0.014285714,33.41,0.0,Mar,Windows,Chrome,Central,Paid Search,Returning_Visitor,False,True
1321,3,180.0,0,0.0,12,1436.5,0.0,0.013333333,27.75904925,0.0,Mar,Windows,Chrome,Northern,Organic,Returning_Visitor,True,True
1323,4,52.0,1,7.0,46,3087.0,0.003773585,0.021383648,16.94643793,0.0,Mar,Windows,Chrome,Eastern,Offline channels,Returning_Visitor,False,True
1328,1,69.0,0,0.0,8,423.0,0.0,0.025,28.05094335,0.0,Mar,Windows,Mozilla,Central,Offline channels,New_Visitor,False,True
1333,0,0.0,0,0.0,26,1377.769697,0.0,0.008,92.4822063,0.0,Mar,Windows,Chrome,Southern,Organic,Returning_Visitor,False,True
1338,0,0.0,0,0.0,36,1166.72619,0.0,0.025,4.599,0.0,Mar,Mac OS,Safari,Central,Referral,Returning_Visitor,True,True
1339,2,11.92307692,2,139.0,80,4099.737392,0.004117063,0.005279668,16.88069613,0.0,Mar,Linux,Chrome,Central,Organic,Returning_Visitor,True,True
1353,4,206.3333333,0,0.0,20,917.35,0.0,0.008333333,23.83323089,0.0,Mar,Ubuntu,Chrome,Central,Organic,Returning_Visitor,True,True
1362,12,739.2091954,1,16.0,21,1321.059195,0.009032258,0.025133361,78.34560177,0.0,Mar,Windows,Chrome,Central,Offline channels,Returning_Visitor,False,True
1368,4,68.5,2,845.0,82,2448.784448,0.000374532,0.008907697,6.506831398,0.0,Mar,Mac OS,Safari,Northern,Organic,Returning_Visitor,False,True
1372,2,58.0,0,0.0,50,952.4345238,0.0,0.011538462,2.179730769,0.0,Mar,Ubuntu,Chrome,Northern,Others,Returning_Visitor,True,True
1388,3,134.0,0,0.0,53,1659.319697,0.0,0.00380117,62.34813701,0.0,Mar,Ubuntu,Safari,Central,Organic,Returning_Visitor,False,True
1397,8,87.5,0,0.0,31,496.5833333,0.005405405,0.012612613,3.889459459,0.0,Mar,Windows,Chrome,Southern,Organic,Returning_Visitor,False,True
1413,2,33.0,0,0.0,25,1720.0,0.0,0.007692308,60.29018448,0.0,Mar,Windows,Opera,Eastern,Direct,Returning_Visitor,False,True
1423,4,143.0,1,20.5,10,386.15,0.0,0.015384615,64.6,0.0,Mar,Mac OS,Safari,Southern,Offline channels,Returning_Visitor,False,True
1428,1,0.0,0,0.0,20,2270.833333,0.0,0.023809524,10.23187302,0.0,Mar,Windows,Chrome,Eastern,Paid Search,Returning_Visitor,False,True
1432,0,0.0,0,0.0,12,481.8333333,0.0,0.018181818,74.088,0.0,Mar,Mac OS,Safari,Central,Organic,New_Visitor,False,True
1435,2,75.0,0,0.0,14,851.0,0.0,0.014285714,22.88908649,0.0,Mar,Mac OS,Safari,Central,Organic,New_Visitor,True,True
1463,10,1559.75,1,7.0,41,1663.761905,0.004347826,0.015942029,13.63463318,0.0,Mar,Mac OS,Safari,Central,Organic,Returning_Visitor,False,True
1466,1,0.0,1,60.5,46,1038.916667,0.021276596,0.039007092,13.10326241,0.0,Mar,Windows,Chrome,North-West,Direct,Returning_Visitor,False,True
1470,6,143.1666667,0,0.0,50,925.947619,0.0,0.010160428,13.60512012,0.0,Mar,Windows,Chrome,Central,Organic,Returning_Visitor,False,True
1490,4,149.25,0,0.0,27,1212.809524,0.0,0.020967742,14.89210837,0.0,Mar,Windows,Chrome,Southern,Organic,Returning_Visitor,False,True
1491,5,172.2,0,0.0,23,792.7222222,0.0,0.010714286,261.4912857,0.0,Mar,Windows,Chrome,Central,Offline channels,New_Visitor,False,True
1511,6,129.75,0,0.0,42,1173.07,0.0,0.005319149,18.95323404,0.0,Mar,Windows,Chrome,Eastern,Offline channels,New_Visitor,True,True
1512,6,408.2,0,0.0,33,878.6238095,0.0,0.02045045,19.3654955,0.0,Mar,Windows,Chrome,Central,Organic,Returning_Visitor,False,True
1516,2,24.42857143,7,278.1666667,76,2735.728571,0.002439024,0.024843206,8.631719512,0.0,Mar,Windows,Opera,Northern,Others,Returning_Visitor,False,True
1519,10,382.8333333,4,319.3,72,4163.797619,0.000297619,0.010912698,12.0921619,0.0,Mar,Windows,Chrome,North-West,Organic,Returning_Visitor,False,True
1529,9,546.0,0,0.0,28,1561.083333,0.01,0.03,3.810575284,0.0,Mar,Windows,Chrome,Southern,Paid media,Returning_Visitor,False,True
1552,4,63.33333333,0,0.0,13,556.6666667,0.0,0.001666667,27.3063666,0.0,Mar,Mac OS,Safari,Central,Organic,Returning_Visitor,False,True
1564,1,18.0,4,123.5,24,4114.083333,0.0,0.003571429,20.91831644,0.0,Mar,Mac OS,Safari,Central,Organic,New_Visitor,False,True
1566,0,0.0,0,0.0,7,451.0,0.0,0.033333333,49.82333333,0.0,Mar,Windows,Chrome,Western,Direct,New_Visitor,False,True
1571,2,60.0,0,0.0,20,717.6166667,0.0,0.004761905,60.19477937,0.0,Mar,Windows,Opera,North-East,Organic,Returning_Visitor,False,True
1572,11,2047.234848,9,1146.666667,45,3641.213151,0.002636535,0.014311471,7.753880158,0.0,Mar,Windows,Chrome,Central,Organic,Returning_Visitor,False,True
1582,7,187.8333333,0,0.0,36,1775.516667,0.0,0.0089599,4.745736842,0.0,Mar,Mac OS,Safari,Central,Paid media,Returning_Visitor,False,True
1586,2,66.0,1,0.0,10,302.0,0.042857143,0.05952381,19.53495497,0.0,Mar,Windows,Edge,Eastern,Organic,Returning_Visitor,False,True
1591,2,69.0,2,92.0,37,796.9571429,0.0,0.0242741,3.978276423,0.0,Mar,Windows,Chrome,Southern,Organic,Returning_Visitor,False,True
1635,7,170.0,0,0.0,27,1342.666667,0.003333333,0.023333333,29.35629782,0.0,Mar,Windows,Chrome,Central,Referral,Returning_Visitor,False,True
1637,0,0.0,0,0.0,9,639.0,0.0,0.025,81.2475,0.0,Mar,Mac OS,Safari,Northern,Others,Returning_Visitor,True,True
1643,5,217.6666667,0,0.0,18,494.6666667,0.0,0.019931973,33.14514286,0.0,Mar,Linux,Chrome,Central,Organic,Returning_Visitor,False,True
1646,8,227.5326923,3,292.6842105,66,3025.521713,0.015995116,0.025541275,7.371682608,0.0,Mar,Linux,Chrome,Eastern,Paid Search,Returning_Visitor,False,True
1664,6,190.2857143,6,609.0,47,2989.494048,0.0,0.004813218,30.897985,0.0,Mar,Windows,Chrome,Central,Offline channels,New_Visitor,True,True
1666,8,183.0,4,571.5,14,333.6,0.0,0.01,15.43344,0.0,Mar,Mac OS,Safari,Central,Organic,Returning_Visitor,True,True
1668,0,0.0,0,0.0,9,355.1666667,0.0,0.004166667,18.02533,0.0,Mar,Windows,Mozilla,Central,Organic,Returning_Visitor,False,True
1672,2,21.0,0,0.0,65,2881.133333,0.0,0.002985075,80.68062856,0.0,Mar,Windows,Chrome,Western,Organic,New_Visitor,False,True
1696,1,24.0,0,0.0,17,498.3333333,0.0,0.021052632,76.78667659,0.0,Mar,Windows,Chrome,North-West,Paid media,Returning_Visitor,False,True
1719,1,6.0,0,0.0,16,608.8333333,0.011764706,0.026666667,52.70052142,0.0,Mar,Linux,Chrome,Central,Others,Returning_Visitor,False,True
1726,4,136.0,0,0.0,31,1141.833333,0.0,0.006060606,10.63449802,0.0,Mar,Mac OS,Safari,Central,Direct,Returning_Visitor,False,True
1731,3,275.0,1,29.5,30,1107.047619,0.0,0.017760943,35.98106601,0.0,Mar,Linux,Chrome,Eastern,Direct,Returning_Visitor,True,True
1732,7,161.0,3,775.5,19,4996.666667,0.008,0.026,14.10053333,0.0,Mar,Windows,Mozilla,South-West,Organic,Returning_Visitor,False,True
1738,2,24.0,0,0.0,28,1206.614719,0.0,0.023222222,5.417644444,0.0,Mar,Windows,Chrome,Central,Organic,Returning_Visitor,False,True
1761,8,377.5128205,3,265.0,60,2062.890972,0.014009662,0.026580162,1.70506715,0.0,Mar,Mac OS,Safari,Western,Organic,Returning_Visitor,False,True
1774,3,42.6,2,41.5,18,1049.516667,0.023809524,0.03968254,14.25648352,0.0,Mar,Linux,Chrome,Northern,Referral,Returning_Visitor,True,True
1777,4,55.75,0,0.0,19,685.95,0.0,0.017724868,7.141428571,0.0,Mar,Linux,Chrome,Southern,Organic,Returning_Visitor,True,True
1780,3,79.0,0,0.0,36,2517.0,0.0,0.005405405,27.23866195,0.0,Mar,Windows,Yandex,Northern,Organic,Returning_Visitor,True,True
1781,0,0.0,0,0.0,19,751.3333333,0.0,0.002777778,13.62630613,0.0,Mar,Windows,Chrome,Central,Organic,Returning_Visitor,True,True
1786,1,40.0,5,279.5,62,1088.830952,0.000980392,0.007230392,11.48461765,0.0,Mar,Linux,Chrome,Central,Others,Returning_Visitor,True,True
1787,3,73.0,0,0.0,9,2151.0,0.0,0.018181818,10.91300022,0.0,Mar,Windows,Opera,Central,Direct,Returning_Visitor,False,True
1824,2,24.6,0,0.0,26,779.5051587,0.011111111,0.034403292,12.55220741,0.0,Mar,Mac OS,Safari,Eastern,Direct,Returning_Visitor,True,True
1842,2,28.0,2,175.5,27,1253.333333,0.006666667,0.014666667,39.7173,0.0,Mar,Windows,Chrome,Central,Organic,Returning_Visitor,False,True
1856,5,143.8333333,1,55.0,19,1762.5,0.0,0.013461538,31.54642738,0.0,Mar,Linux,Chrome,Central,Organic,Returning_Visitor,False,True
1860,5,141.0,0,0.0,33,1371.633333,0.0,0.005555556,44.71103438,0.0,Mar,Windows,Mozilla,Eastern,Offline channels,New_Visitor,True,True
1891,4,45.33333333,0,0.0,53,1440.298918,0.012727273,0.021974359,1.660118182,0.0,Mar,Linux,Chrome,Southern,Referral,Returning_Visitor,True,True
1901,13,456.9880952,3,72.83333333,39,976.7103175,0.004166667,0.009722222,39.65538156,0.0,Mar,Mac OS,Safari,Central,Direct,Returning_Visitor,True,True
1904,1,75.0,4,250.6666667,44,1679.833333,0.0,0.001086957,45.8293144,0.0,Mar,Windows,Chrome,Central,Organic,New_Visitor,True,True
1905,4,99.5,0,0.0,16,315.1666667,0.0,0.016666667,12.53314286,0.0,Mar,Mac OS,Safari,North-West,Referral,Returning_Visitor,False,True
1918,1,44.0,0,0.0,25,773.4666667,0.0,0.029142857,10.3572,0.0,Mar,Windows,Chrome,Central,Organic,Returning_Visitor,True,True
1919,5,825.0,0,0.0,33,808.1666667,0.0,0.005405405,20.85956757,0.0,Mar,Windows,Mozilla,North-East,Paid media,New_Visitor,False,True
1929,0,0.0,0,0.0,10,254.0,0.02,0.04,14.0292,0.0,Mar,Windows,Chrome,North-East,Organic,New_Visitor,False,True
1941,0,0.0,0,0.0,10,408.0,0.0,0.022222222,88.78460596,0.0,Mar,Windows,Chrome,Central,Organic,Returning_Visitor,False,True
1963,7,75.05,0,0.0,31,489.1452381,0.011111111,0.022222222,27.38224222,0.0,Mar,Windows,Chrome,South-East,Organic,Returning_Visitor,True,True
1967,0,0.0,0,0.0,24,580.2,0.0,0.012121212,17.12545455,0.0,Mar,Windows,Chrome,Central,Direct,Returning_Visitor,False,True
1968,0,0.0,0,0.0,32,999.0,0.0,0.01344086,9.053081561,0.0,Mar,Mac OS,Safari,Central,Direct,Returning_Visitor,False,True
1983,2,4.0,0,0.0,10,284.0,0.0,0.016666667,33.32834503,0.0,Mar,Windows,Opera,Central,Offline channels,New_Visitor,False,True
1984,9,81.0,0,0.0,34,1219.113725,0.007017544,0.022556391,9.517421053,0.0,Mar,Linux,Chrome,Eastern,Direct,Returning_Visitor,False,True
1985,1,0.0,0,0.0,21,574.722619,0.0,0.018888889,6.284044913,0.0,Mar,Windows,Chrome,Central,Organic,Returning_Visitor,False,True
1996,1,702.0,0,0.0,38,2193.150794,0.012280702,0.015614035,9.09277193,0.0,Mar,Mac OS,Safari,Northern,Organic,Returning_Visitor,False,True
1997,4,22.5,0,0.0,15,289.85,0.0,0.022222222,57.96417654,0.0,Mar,Windows,Chrome,Northern,Referral,New_Visitor,True,True
2001,4,73.75,1,58.0,12,777.5,0.0,0.015555556,10.782,0.0,Mar,Windows,Chrome,Central,Organic,Returning_Visitor,True,True
